Room Temparature,Room Humidity (%),Outside Temp,Outside Humid (%),T.Offset,H.Offset,Set Temperature ,Volt,Amp,Energy,Target,Com_Target,Hum_Target,Volt_Target,Amp_Target
29.723125,76.2609375,32.47251553,81.5,,,22,225.9172353,3.406647059,28.95294118,28.95882353,29.76375,76.313125,225.5757059,3.780941176
29.76375,76.313125,32.85101863,80,,,22,225.5757059,3.780941176,28.95882353,28.96470588,29.804375,76.3653125,225.2341765,4.155235294
29.804375,76.3653125,33.22952174,78.5,,,22,225.2341765,4.155235294,28.96470588,28.97058824,29.845,76.4175,224.8926471,4.529529412
29.845,76.4175,33.60802484,77,,,22,224.8926471,4.529529412,28.97058824,28.97647059,29.885625,76.4696875,224.5511176,4.903823529
29.885625,76.4696875,33.98652795,75.5,,,22,224.5511176,4.903823529,28.97647059,28.98235294,29.92625,76.521875,224.2095882,5.278117647
29.92625,76.521875,34.36503106,74,4.428625,-2.521875,22,224.2095882,5.278117647,28.98235294,28.98823529,30.02012384,77.48916409,223.8680588,5.652411765
30.02012384,77.48916409,35.99,74,5.969876161,-3.489164087,22,223.8680588,5.652411765,28.98823529,28.99411765,30.14143302,77.96573209,223.5265294,6.026705882
30.14143302,77.96573209,35.95884735,70.68535826,5.81741433,-7.280373832,22,223.5265294,6.026705882,28.99411765,29,26.8584375,54.14375,223.185,6.401
26.8584375,54.14375,36.618375,66.7875,9.7599375,12.64375,22,223.185,6.401,29,30.6,24.62507937,49.13968254,224.68625,4.865
24.62507937,49.13968254,37.38603175,62.81269841,12.76095238,13.67301587,22,224.68625,4.865,30.6,32.2,24.19492063,51.54603175,226.1875,3.329
24.19492063,51.54603175,38.36822222,59.42222222,14.17330159,7.876190476,22,226.1875,3.329,32.2,33.8,23.93954248,54.26470588,227.68875,1.793
23.93954248,54.26470588,38.76820261,58,14.82866013,3.735294118,22,227.68875,1.793,33.8,35.4,25.00519481,66.77272727,229.19,0.257
25.00519481,66.77272727,38.42146104,59.23376623,13.41626623,-7.538961039,22,229.19,0.257,35.4,36.4,25.85967742,69.25483871,230.036,2.434
25.85967742,69.25483871,37.21258065,63.36774194,11.35290323,-5.887096774,21,230.036,2.434,36.4,37.4,26.11289308,68.40566038,230.882,4.611
26.11289308,68.40566038,35.56937107,66,9.456477987,-2.405660377,20,230.882,4.611,37.4,38.4,25.8654485,66.09634551,231.728,6.788
